Date,Open,High,Low,Close,Volume,RSI,AROONOSC,MFI,MOM,MA50,MA200,OBV
2002-02-08,24.68,25.07,24.54,24.89,158100.0,,,,,,,158100.0
2002-02-11,25.0,25.59,25.0,25.43,39300.0,,,,,,,197400.0
2002-02-12,25.39,25.51,25.21,25.21,11300.0,,,,,,,186100.0
2002-02-13,25.63,25.75,25.4,25.48,34300.0,,,,,,,220400.0
2002-02-14,25.5,25.63,25.35,25.57,8800.0,,,,,,,229200.0
2002-02-15,25.35,25.68,25.33,25.39,11400.0,,,,,,,217800.0
2002-02-19,25.1,25.43,25.1,25.32,54700.0,,,,,,,163100.0
2002-02-20,25.55,25.69,25.11,25.69,28700.0,,,,,,,191800.0
2002-02-21,25.85,26.09,25.57,25.59,24200.0,,,,,,,167600.0
2002-02-22,25.8,25.96,25.4,25.84,94500.0,,,,,,,262100.0
2002-02-25,25.99,26.57,25.99,26.52,560300.0,,,,1.629999999999999,,,822400.0
2002-02-26,26.7,26.75,26.28,26.62,175500.0,,,,1.1900000000000013,,,997900.0
2002-02-27,26.82,27.12,26.66,26.94,2123800.0,,,,1.7300000000000004,,,3121700.0
2002-02-28,27.1,27.25,26.6,26.6,150200.0,,,,1.120000000000001,,,2971500.0
2002-03-01,26.8,27.22,26.61,27.22,33400.0,78.0722891566265,92.85714285714286,90.32579885031265,1.6499999999999986,,,3004900.0
2002-03-04,27.55,28.34,27.44,28.15,320300.0,82.3353740480812,100.0,91.11764584984678,2.759999999999998,,,3325200.0
2002-03-05,28.05,28.25,27.68,27.8,332700.0,76.3215894208963,64.28571428571429,83.40416466841371,2.4800000000000004,,,2992500.0
2002-03-06,27.85,28.65,27.85,28.64,145600.0,80.08176543901388,78.57142857142857,83.8973418547583,2.9499999999999993,,,3138100.0
2002-03-07,28.7,28.7,28.11,28.3,304400.0,74.89727632002018,85.71428571428572,77.91586236666713,2.710000000000001,,,2833700.0
2002-03-08,28.52,28.7,28.21,28.49,124100.0,75.83863089116988,92.85714285714286,78.74606343337814,2.6499999999999986,,,2957800.0
2002-03-11,28.4,28.78,28.25,28.55,105800.0,76.14288236802705,100.0,80.15464781137699,2.030000000000001,,,3063600.0
2002-03-12,28.35,28.69,28.2,28.49,138300.0,75.12411457998579,92.85714285714286,77.53675055635753,1.8699999999999974,,,2925300.0
2002-03-13,28.4,28.47,28.1,28.1,226200.0,68.69069546201413,78.57142857142857,73.67543889871317,1.1600000000000001,,,2699100.0
2002-03-14,28.22,28.31,28.1,28.13,147100.0,68.91124549819783,78.57142857142857,72.73005534885077,1.5299999999999976,,,2846200.0
2002-03-15,28.2,28.2,27.92,28.07,139300.0,67.8813366789154,71.42857142857143,67.12918742375905,0.8500000000000014,,,2706900.0
2002-03-18,28.3,28.3,27.81,27.96,220400.0,65.93572753622527,64.28571428571429,62.55739511672154,-0.18999999999999773,,,2486500.0
2002-03-19,28.15,28.39,28.1,28.26,132800.0,68.5806652607612,50.0,34.31987668194017,0.46000000000000085,,,2619300.0
2002-03-20,28.2,28.26,27.8,27.95,111700.0,63.126212456719756,50.0,34.761720848398916,-0.6900000000000013,,,2507600.0
2002-03-21,27.95,27.95,27.07,27.39,176200.0,54.667745195477856,42.85714285714286,31.685688351582193,-0.9100000000000001,,,2331400.0
2002-03-22,27.39,27.53,26.98,27.23,91000.0,52.50311529909217,-64.28571428571429,21.430681615945012,-1.259999999999998,,,2240400.0
2002-03-25,27.44,27.44,26.75,26.8,138600.0,47.104882920204446,-71.42857142857143,23.35283886098285,-1.75,,,2101800.0
2002-03-26,26.83,27.34,26.83,26.97,184600.0,49.323284231539866,-71.42857142857143,24.40545872999158,-1.5199999999999996,,,2286400.0
2002-03-27,27.15,27.44,26.92,27.15,73000.0,51.63616644083523,-71.42857142857143,30.844278645698765,-0.9500000000000028,,,2359400.0
2002-03-28,27.25,27.48,27.21,27.24,13800.0,52.79621603310074,-71.42857142857143,26.715807870333318,-0.8900000000000006,,,2373200.0
2002-04-01,26.98,27.29,26.73,27.23,15000.0,52.64511893520658,-100.0,22.09833790842755,-0.8399999999999999,,,2358200.0
2002-04-02,27.0,27.12,26.88,26.97,115700.0,48.73947869370585,-92.85714285714286,22.461864258702924,-0.990000000000002,,,2242500.0
2002-04-03,26.8,27.0,26.41,26.6,189200.0,43.76369834087535,-100.0,23.086760567444585,-1.6600000000000001,,,2053300.0
2002-04-04,26.5,26.88,26.5,26.81,274800.0,47.06671970989946,-71.42857142857143,35.965120441618716,-1.1400000000000006,,,2328100.0
2002-04-05,27.25,27.25,26.9,26.93,153700.0,48.91322170674976,-71.42857142857143,43.85333895588824,-0.46000000000000085,,,2481800.0
2002-04-08,26.76,27.14,26.7,27.14,156000.0,52.06459674534554,-71.42857142857143,45.591734415467506,-0.08999999999999986,,,2637800.0
2002-04-09,27.3,27.3,27.09,27.12,97100.0,51.73726327723056,-71.42857142857143,44.3418317697504,0.3200000000000003,,,2540700.0
2002-04-10,27.36,27.75,27.33,27.75,95900.0,60.22115809017183,-64.28571428571429,50.30341841005123,0.7800000000000011,,,2636600.0
2002-04-11,27.6,27.6,26.82,26.86,168100.0,47.51421627636429,-57.142857142857146,50.604843087114595,-0.28999999999999915,,,2468500.0
2002-04-12,27.02,27.05,26.7,26.82,38100.0,47.03386683328169,35.714285714285715,52.198379279485884,-0.41999999999999815,,,2430400.0
2002-04-15,26.71,26.71,26.37,26.54,93900.0,43.7032107600833,-21.42857142857143,53.648095447759125,-0.6900000000000013,,,2336500.0
2002-04-16,26.77,27.1,26.77,27.01,329400.0,50.09193765097039,-21.42857142857143,57.33467681432055,0.0400000000000027,,,2665900.0
2002-04-17,26.95,27.0,26.7,26.82,305800.0,47.73365522405013,-21.42857142857143,47.25946372359008,0.21999999999999886,,,2360100.0
2002-04-18,26.78,26.83,26.2,26.62,242200.0,45.31522690056023,-42.85714285714286,41.965550794727804,-0.18999999999999773,,,2117900.0
2002-04-19,26.61,26.73,26.46,26.47,39700.0,43.533748586228604,-42.85714285714286,43.23119482718033,-0.46000000000000085,,,2078200.0
2002-04-22,26.35,26.44,25.98,26.05,400900.0,38.92001897260664,-57.142857142857146,38.62911166372431,-1.0899999999999999,26.954399999999996,,1677300.0
2002-04-23,26.05,26.24,25.86,26.0,414300.0,38.39829189471918,-64.28571428571429,35.66935894445332,-1.120000000000001,26.976599999999994,,1263000.0
2002-04-24,25.9,26.18,25.76,25.78,39300.0,36.104922010609656,-71.42857142857143,28.249928605299683,-1.9699999999999989,26.983599999999992,,1223700.0
2002-04-25,25.27,25.57,25.09,25.47,159400.0,33.10455963348943,-78.57142857142857,22.228396128719172,-1.3900000000000006,26.98879999999999,,1064300.0
2002-04-26,25.5,25.69,25.2,25.21,86000.0,30.79324487252923,-78.57142857142857,22.907315635417554,-1.6099999999999994,26.983399999999993,,978300.0
2002-04-29,25.34,25.34,24.65,24.66,153500.0,26.56756112515124,-92.85714285714286,18.605999482471287,-1.879999999999999,26.965199999999996,,824800.0
2002-04-30,24.79,25.54,24.74,25.36,288800.0,38.192771914414244,-92.85714285714286,23.82552242205026,-1.6500000000000021,26.96459999999999,,1113600.0
2002-05-01,25.3,25.47,24.78,25.44,61700.0,39.37403912508938,-85.71428571428572,27.104214140355214,-1.379999999999999,26.966999999999995,,1175300.0
2002-05-02,25.52,25.57,25.37,25.53,42900.0,40.74606803516369,-64.28571428571429,28.65394211596039,-1.0899999999999999,26.963799999999992,,1218200.0
2002-05-03,25.4,25.63,25.3,25.54,35700.0,40.906093648763566,-64.28571428571429,29.722281348330338,-0.9299999999999997,26.962799999999994,,1253900.0
2002-05-06,25.49,25.51,24.78,24.82,163000.0,33.82328793228942,-64.28571428571429,17.70758201764235,-1.2300000000000004,26.942399999999992,,1090900.0
2002-05-07,24.9,25.15,24.77,24.84,73100.0,34.16429313598016,-57.142857142857146,19.73939731428958,-1.1600000000000001,26.908799999999992,,1164000.0
2002-05-08,25.48,25.89,25.4,25.87,277900.0,48.797483937874716,-50.0,32.16752008192957,0.08999999999999986,26.89379999999999,,1441900.0
2002-05-09,25.65,25.75,25.4,25.43,229900.0,44.27065942756926,-42.85714285714286,27.913583840715457,-0.03999999999999915,26.86359999999999,,1212000.0
2002-05-10,25.67,25.67,25.05,25.05,60500.0,40.75435955370653,-35.714285714285715,32.70128828885613,-0.16000000000000014,26.832599999999992,,1151500.0
2002-05-13,25.05,25.34,24.98,25.21,381300.0,42.813950981984114,-28.571428571428573,33.46095366081178,0.5500000000000007,26.792399999999994,,1532800.0
2002-05-14,25.69,25.85,25.58,25.77,48700.0,49.43905346177813,-21.42857142857143,35.75151762451277,0.41000000000000014,26.74479999999999,,1581500.0
