Date,Open,High,Low,Close,Volume,RSI,AROONOSC,MFI,MOM,MA50,MA200,OBV
2002-02-08,24.68,25.06,24.62,24.94,32900.0,,,,,,,32900.0
2002-02-11,25.2,25.34,25.06,25.34,159000.0,,,,,,,191900.0
2002-02-12,25.27,25.45,25.17,25.33,31200.0,,,,,,,160700.0
2002-02-13,25.49,25.57,25.39,25.49,139900.0,,,,,,,300600.0
2002-02-14,25.5,25.67,25.4,25.49,58300.0,,,,,,,300600.0
2002-02-15,25.56,25.69,25.5,25.5,30300.0,,,,,,,330900.0
2002-02-19,25.42,25.59,25.18,25.18,211800.0,,,,,,,119100.0
2002-02-20,25.48,25.73,25.28,25.69,170300.0,,,,,,,289400.0
2002-02-21,25.73,25.97,25.37,25.37,93800.0,,,,,,,195600.0
2002-02-22,25.55,25.9,25.5,25.79,104100.0,,,,,,,299700.0
2002-02-25,25.93,25.95,25.7,25.83,257500.0,,,,0.889999999999997,,,557200.0
2002-02-26,25.95,25.95,25.65,25.82,90700.0,,,,0.4800000000000004,,,466500.0
2002-02-27,25.95,26.1,25.75,25.85,1063300.0,,,,0.5200000000000031,,,1529800.0
2002-02-28,25.82,26.07,25.76,25.76,884000.0,,,,0.2700000000000031,,,645800.0
2002-03-01,25.92,26.36,25.78,26.25,208600.0,73.30960854092525,100.0,66.13908736706983,0.7600000000000016,,,854400.0
2002-03-04,26.33,26.33,26.05,26.26,350800.0,73.4115080447232,92.85714285714286,67.97718769133071,0.7600000000000016,,,1205200.0
2002-03-05,26.0,26.2,25.76,25.8,209200.0,61.7354949106497,85.71428571428572,64.0414757039978,0.620000000000001,,,996000.0
2002-03-06,25.88,26.16,25.85,26.01,269100.0,64.51057510178654,57.142857142857146,65.23409468489729,0.3200000000000003,,,1265100.0
2002-03-07,26.05,26.05,25.8,26.0,3059000.0,64.27153898513554,57.142857142857146,36.40388081143644,0.629999999999999,,,-1793900.0
2002-03-08,25.97,26.08,25.78,25.91,78700.0,62.04333504161759,57.142857142857146,35.72765553132615,0.120000000000001,,,-1872600.0
2002-03-11,25.9,25.95,25.71,25.91,513700.0,62.043335041617574,57.142857142857146,34.2429370489182,0.08000000000000185,,,-1872600.0
