Date,Open,High,Low,Close,Volume,RSI,AROONOSC,MFI,MOM,MA50,MA200,OBV
2002-02-08,28.26,28.54,28.15,28.4,15600.0,,,,,,,15600.0
2002-02-11,28.6,29.25,28.6,29.25,885100.0,,,,,,,900700.0
2002-02-12,29.15,29.25,28.9,29.0,722500.0,,,,,,,178200.0
2002-02-13,29.48,29.6,29.3,29.43,43100.0,,,,,,,221300.0
2002-02-14,29.5,29.7,29.3,29.54,275400.0,,,,,,,496700.0
2002-02-15,29.6,29.6,29.15,29.2,607200.0,,,,,,,-110500.0
2002-02-19,29.1,29.4,28.83,28.86,241400.0,,,,,,,-351900.0
2002-02-20,29.1,29.45,28.89,29.43,158500.0,,,,,,,-193400.0
2002-02-21,29.4,29.75,29.15,29.15,746200.0,,,,,,,-939600.0
2002-02-22,28.91,29.19,28.6,29.19,17100.0,,,,,,,-922500.0
2002-02-25,29.4,29.7,29.4,29.68,28000.0,,,,1.2800000000000011,,,-894500.0
2002-02-26,29.9,30.19,29.55,30.0,206000.0,,,,0.75,,,-688500.0
2002-02-27,30.25,30.25,29.7,29.95,398300.0,,,,0.9499999999999993,,,-1086800.0
2002-02-28,29.89,30.05,29.56,29.7,376400.0,,,,0.2699999999999996,,,-1463200.0
2002-03-01,29.7,30.0,29.7,29.98,216600.0,67.17391304347827,85.71428571428572,74.73918198774082,0.4400000000000013,,,-1246600.0
2002-03-04,30.05,30.45,29.9,30.43,159300.0,70.30257186081694,42.85714285714286,70.4743581970075,1.2300000000000004,,,-1087300.0
2002-03-05,30.2,30.2,29.36,29.54,251200.0,58.439259388240764,42.85714285714286,60.072920675964085,0.6799999999999997,,,-1338500.0
2002-03-06,29.45,29.98,29.45,29.95,113500.0,61.649818795550026,42.85714285714286,60.8244103278693,0.5199999999999996,,,-1225000.0
2002-03-07,30.36,30.36,29.91,30.18,526600.0,63.359772139396576,42.85714285714286,63.35440637707084,1.0300000000000011,,,-698400.0
2002-03-08,30.55,30.59,30.15,30.35,236300.0,64.61561209559119,71.42857142857143,76.07080286379033,1.1600000000000001,,,-462100.0
2002-03-11,30.15,30.39,29.91,30.21,517300.0,62.70939423675807,71.42857142857143,70.52546091210473,0.5300000000000011,,,-979400.0
2002-03-12,30.01,30.44,29.9,30.27,304500.0,63.21031500580144,71.42857142857143,71.6223756293363,0.2699999999999996,,,-674900.0
2002-03-13,30.25,30.31,30.0,30.2,602300.0,62.161206261405674,71.42857142857143,55.43466062619969,0.25,,,-1277200.0
2002-03-14,30.3,30.42,30.14,30.2,76100.0,62.16120626140569,71.42857142857143,56.513324595820954,0.5,,,-1277200.0
2002-03-15,30.35,30.65,30.29,30.55,58300.0,65.48322539839334,57.142857142857146,56.852973955305885,0.5700000000000003,,,-1218900.0
2002-03-18,30.75,30.75,30.2,30.56,29800.0,65.57621622132844,64.28571428571429,54.90398445848585,0.129999999999999,,,-1189100.0
2002-03-19,30.7,30.82,30.47,30.69,287000.0,66.82738980271253,71.42857142857143,53.65410425240205,1.1500000000000021,,,-902100.0
2002-03-20,30.5,30.74,30.42,30.57,86800.0,64.49703894046465,71.42857142857143,58.040187094020325,0.620000000000001,,,-988900.0
2002-03-21,30.55,30.55,29.9,30.19,186900.0,57.64224030913739,71.42857142857143,52.264169329660916,0.010000000000001563,,,-1175800.0
2002-03-22,29.85,30.3,29.76,30.05,249700.0,55.30992575363598,71.42857142857143,46.420642779088226,-0.3000000000000007,,,-1425500.0
2002-03-25,30.05,30.14,29.5,29.5,561900.0,47.22561132235031,71.42857142857143,42.71512099522097,-0.7100000000000009,,,-1987400.0
2002-03-26,29.6,30.12,29.6,29.9,383400.0,52.64654145923091,64.28571428571429,46.4511769181114,-0.370000000000001,,,-1604000.0
2002-03-27,29.85,30.16,29.78,30.1,165100.0,55.12839901459719,-28.571428571428573,41.268385929682275,-0.09999999999999787,,,-1438900.0
2002-03-28,30.0,30.2,29.95,30.04,246700.0,54.210459273263254,-28.571428571428573,41.393949156763945,-0.16000000000000014,,,-1685600.0
2002-04-01,29.35,29.6,29.1,29.48,54300.0,46.43837859463829,-57.142857142857146,47.247737882664865,-1.0700000000000003,,,-1739900.0
2002-04-02,29.3,29.3,28.9,28.95,291500.0,40.51769954728281,-64.28571428571429,38.24634011253233,-1.6099999999999994,,,-2031400.0
2002-04-03,29.05,29.32,27.92,28.73,104400.0,38.332966417027556,-71.42857142857143,45.227075484031445,-1.9600000000000009,,,-2135800.0
2002-04-04,28.75,29.26,28.75,29.12,267400.0,44.08844924410428,-71.42857142857143,48.60371809695234,-1.4499999999999993,,,-1868400.0
2002-04-05,29.35,29.55,29.23,29.3,191400.0,46.567180141860355,-71.42857142857143,50.73885882980619,-0.8900000000000006,,,-1677000.0
2002-04-08,29.06,29.77,29.06,29.74,238200.0,52.15139336472143,-71.42857142857143,53.79830754188926,-0.3100000000000023,,,-1438800.0
2002-04-09,29.77,30.04,29.77,29.95,1285500.0,54.59061263722624,-71.42857142857143,64.48351883042584,0.4499999999999993,,,-153300.0
2002-04-10,30.13,30.43,30.09,30.3,1083400.0,58.39721397069684,-64.28571428571429,72.91783393278396,0.40000000000000213,,,930100.0
